,vix,vix_z,corr,corr_z,rv_mean,rv_zscore
2024-10-25,20.329999923706055,0.3180370547656972,-1.0621133602247331e-16,-2.064968391800902,0.036962014066778,0.09968460106847543
2024-11-01,21.8799991607666,0.5444294775975522,1.628327102783563e-17,0.4442259462537917,0.0371392772970775,0.23919375820471706
2024-11-08,14.9399995803833,-0.46922477582945055,2.960594732333751e-18,0.1713226345620425,0.038466877770418864,1.1707675880880073
2024-11-15,16.139999389648438,-0.29395316425595014,0.0,0.11067745418609824,0.0390985641084442,1.600407216172036
2024-11-22,15.239999771118164,-0.42540683811272945,1.3618735768735253e-16,2.900355751479534,0.03894910182298978,1.4689848136999486
2024-11-29,13.510000228881836,-0.6780900514332939,-1.7763568394002505e-17,-0.2531936280695673,0.03861739110510463,1.2349167353664119
2024-12-06,12.770000457763672,-0.7861741956527244,-1.1842378929335004e-17,-0.1319032673176788,0.03901513301981254,1.4864613639468913
2024-12-13,13.8100004196167,-0.6342721137165728,1.924386576016938e-17,0.504871126629736,0.03919555344830867,1.6089923688661008
2024-12-20,18.360000610351562,0.03029954698910943,-7.697546304067752e-17,-1.4660972355884525,0.03985710238119262,1.9954193671743303
2024-12-27,15.949999809265137,-0.32170444587695585,-1.7763568394002505e-17,-0.2531936280695673,0.03956355992387382,1.736052085676268
2025-01-03,17.350000381469727,-0.11722078296338527,-5.921189464667501e-17,-1.1022261533327868,0.039442128557180614,1.6138549243857283
